mom,id,origin,date,phenotype,value,note
nat18,326,native,2018-06-24,PH,5.5,
nat18,480,native,2018-06-24,PH,4,
nat18,632,native,2018-06-24,PH,5.7,
nat19,100,native,2018-06-24,PH,7,
nat19,183,native,2018-06-24,PH,7,
nat19,185,native,2018-06-24,PH,6,
nat19,190,native,2018-06-24,PH,7,
nat19,202,native,2018-06-24,PH,8,
nat19,22,native,2018-06-24,PH,5.5,
nat19,223,native,2018-06-24,PH,8,
nat19,224,native,2018-06-24,PH,6.5,
nat19,241,native,2018-06-24,PH,5,
nat19,270,native,2018-06-24,PH,8,
nat19,275,native,2018-06-24,PH,7,
nat19,296,native,2018-06-24,PH,4,
nat19,33,native,2018-06-24,PH,6,
nat19,355,native,2018-06-24,PH,7,
nat19,364,native,2018-06-24,PH,7,
nat19,375,native,2018-06-24,PH,6,
nat19,397,native,2018-06-24,PH,6,
nat19,398,native,2018-06-24,PH,7,
nat19,40,native,2018-06-24,PH,5.8,
nat19,430,native,2018-06-24,PH,6.5,
nat19,46,native,2018-06-24,PH,6.5,
nat19,468,native,2018-06-24,PH,5.5,
nat19,482,native,2018-06-24,PH,7,
nat19,513,native,2018-06-24,PH,6,
nat19,538,native,2018-06-24,PH,5,
nat19,557,native,2018-06-24,PH,7,
nat19,571,native,2018-06-24,PH,6,
nat19,596,native,2018-06-24,PH,7,
nat19,606,native,2018-06-24,PH,6.5,
nat19,611,native,2018-06-24,PH,5.5,
nat19,616,native,2018-06-24,PH,7,
nat19,626,native,2018-06-24,PH,6.5,
nat19,627,native,2018-06-24,PH,4,
nat19,631,native,2018-06-24,PH,6.5,
nat19,642,native,2018-06-24,PH,2.5,
nat19,65,native,2018-06-24,PH,6.8,
nat19,657,native,2018-06-24,PH,5.5,
nat19,659,native,2018-06-24,PH,5.5,
nat19,74,native,2018-06-24,PH,6,
nat19,76,native,2018-06-24,PH,7,
nat19,94,native,2018-06-24,PH,3,
nat20,301,native,2018-06-24,PH,5,
nat20,440,native,2018-06-24,PH,7,
nat20,446,native,2018-06-24,PH,6.5,
nat20,473,native,2018-06-24,PH,8.2,
nat20,519,native,2018-06-24,PH,5.5,
nat20,605,native,2018-06-24,PH,7.5,
nat20,608,native,2018-06-24,PH,4.5,
nat20,615,native,2018-06-24,PH,5.2,
nat21,332,native,2018-06-24,PH,9,
nat21,333,native,2018-06-24,PH,8,
nat21,358,native,2018-06-24,PH,7,
nat21,422,native,2018-06-24,PH,5.5,
nat21,500,native,2018-06-24,PH,6.5,
nat21,527,native,2018-06-24,PH,5,
nat21,568,native,2018-06-24,PH,9,
nat21,573,native,2018-06-24,PH,6,
nat21,589,native,2018-06-24,PH,5.5,
nat21,68,native,2018-06-24,PH,8,
nat22,101,native,2018-06-24,PH,6.2,
nat22,119,native,2018-06-24,PH,10,
nat22,142,native,2018-06-24,PH,8,
nat22,176,native,2018-06-24,PH,9,
nat22,191,native,2018-06-24,PH,5,
nat22,199,native,2018-06-24,PH,6,
nat22,25,native,2018-06-24,PH,7.5,
nat22,254,native,2018-06-24,PH,6,
nat22,353,native,2018-06-24,PH,10,
nat22,505,native,2018-06-24,PH,7,
nat22,535,native,2018-06-24,PH,8,
nat22,6,native,2018-06-24,PH,8,
nat22,609,native,2018-06-24,PH,4.5,
nat22,638,native,2018-06-24,PH,8,
nat23,2,native,2018-06-24,PH,7.5,
nat23,216,native,2018-06-24,PH,6.5,
nat23,244,native,2018-06-24,PH,7,
nat23,259,native,2018-06-24,PH,10,
nat23,309,native,2018-06-24,PH,3.5,
nat23,334,native,2018-06-24,PH,8,
nat23,380,native,2018-06-24,PH,4.5,
nat23,501,native,2018-06-24,PH,5,
nat23,575,native,2018-06-24,PH,6,
nat24,147,native,2018-06-24,PH,7,
nat24,485,native,2018-06-24,PH,6,
nat24,489,native,2018-06-24,PH,6.5,
nat24,8,native,2018-06-24,PH,2.5,
nat24,90,native,2018-06-24,PH,7,
nat25,187,native,2018-06-24,PH,5.5,
nat25,299,native,2018-06-24,PH,9,
nat25,433,native,2018-06-24,PH,5,
nat25,520,native,2018-06-24,PH,7.5,
nat25,537,native,2018-06-24,PH,9,
nat25,582,native,2018-06-24,PH,5,
nat25,613,native,2018-06-24,PH,7,
nat26,151,native,2018-06-24,PH,6,
nat26,16,native,2018-06-24,PH,5.5,
nat26,182,native,2018-06-24,PH,6.5,
nat26,269,native,2018-06-24,PH,6.5,
nat26,310,native,2018-06-24,PH,6,
nat26,338,native,2018-06-24,PH,5.5,
nat26,345,native,2018-06-24,PH,4.2,
nat26,373,native,2018-06-24,PH,6,
nat26,376,native,2018-06-24,PH,7.5,
nat26,402,native,2018-06-24,PH,6,
nat26,414,native,2018-06-24,PH,5.5,
nat26,424,native,2018-06-24,PH,6.5,
nat26,47,native,2018-06-24,PH,7,
nat26,471,native,2018-06-24,PH,7.7,
nat26,524,native,2018-06-24,PH,7,
nat26,561,native,2018-06-24,PH,6.5,
