mom,id,AP,n_loci
nat25,613,27.77777777777778,9
nat25,187,38.888888888888886,9
nat25,267,50,8
nat25,299,44.44444444444444,9
nat25,433,33.333333333333336,9
nat25,520,38.888888888888886,9
nat25,537,50,9
nat26,151,38.888888888888886,9
nat26,182,44.44444444444444,9
nat26,47,50,9
nat26,471,56.25,8
nat26,561,50,9
nat26,625,44.44444444444444,9
nat26,345,41.666666666666664,6
nat26,269,62.5,8
nat26,310,38.888888888888886,9
nat26,338,56.25,8
nat26,424,50,8
nat26,373,50,8
nat26,402,50,8
nat26,414,50,9
nat27,406,44.44444444444444,9
nat27,517,50,9
nat27,57,55.55555555555556,9
nat27,655,50,9
nat27,141,31.25,8
nat27,152,56.25,8
nat27,181,50,9
nat27,206,55.55555555555556,9
nat27,347,50,7
nat27,4,50,9
nat29,122,50,7
nat29,137,50,7
nat29,139,50,7
nat29,153,58.333333333333336,6
nat29,188,64.28571428571429,7
nat29,423,50,7
nat29,479,43.75,8
nat29,5,37.5,8
nat29,544,42.857142857142854,7
nat29,565,43.75,8
nat29,620,58.333333333333336,6
nat29,99,50,8
urb15,4126,44.44444444444444,9
urb15,4127,50,9
urb15,4128A,68.75,8
urb15,4128B,56.25,8
urb15,4129A,56.25,8
urb15,4129B,50,9
urb15,4130,61.111111111111114,9
urb15,4131,50,9
urb15,4132,55.55555555555556,9
urb15,4133,38.888888888888886,9
urb15,4134,50,9
urb15,4135,50,8
urb15,4136,56.25,8
urb15,4137,62.5,8
urb15,4138,62.5,8
urb15,4139,68.75,8
urb16,3922,38.888888888888886,9
urb16,3924,44.44444444444444,9
urb16,3925,38.888888888888886,9
urb16,3926,38.888888888888886,9
urb16,3927,44.44444444444444,9
urb16,3928,44.44444444444444,9
urb16,3929,38.888888888888886,9
urb16,3930,43.75,8
urb16,3931,38.888888888888886,9
urb16,3932,27.77777777777778,9
urb16,3933,38.888888888888886,9
urb16,3934,44.44444444444444,9
urb16,3935,44.44444444444444,9
urb16,3936,38.888888888888886,9
urb16,3937,33.333333333333336,9
urb16,3938,38.888888888888886,9
urb17,207,44.44444444444444,9
urb17,213,57.142857142857146,7
urb17,250,42.857142857142854,7
urb17,276,57.142857142857146,7
urb17,280,38.888888888888886,9
urb17,300,50,7
urb17,311,43.75,8
urb17,410,38.888888888888886,9
urb17,546,55.55555555555556,9
urb17,570,50,9
urb17,617,66.66666666666667,9
urb17,621,55.55555555555556,9
urb17,70,61.111111111111114,9
urb17,80,50,9
urb18,128,50,8
urb18,155,43.75,8
urb18,298,50,8
urb18,330,42.857142857142854,7
urb18,416,55.55555555555556,9
urb18,470,61.111111111111114,9
urb18,483,50,8
urb18,509,50,8
urb19,3561,55.55555555555556,9
urb19,3562,44.44444444444444,9
urb19,3563B,56.25,8
urb19,3565,44.44444444444444,9
urb19,3566,50,9
