mom,id,origin,cold_stratification,germination,days,cold_days,bilocular
urb29,124,cultivar,2017-12-05,2018-03-04,62,89,0
urb29,127,cultivar,2017-12-05,2018-04-17,19,133,0
urb29,158,cultivar,2017-12-05,2018-04-17,19,133,0
urb29,165,cultivar,2017-12-05,2018-04-05,31,121,0
urb29,170,cultivar,2017-12-05,2018-04-23,13,139,0
urb29,282,cultivar,2017-12-05,2018-04-23,13,139,0
urb29,363,cultivar,2017-12-05,2018-04-01,35,117,0
urb29,394,cultivar,2017-12-05,2018-04-07,29,123,0
urb29,400,cultivar,2017-12-05,2018-03-27,39,112,0
urb29,504,cultivar,2017-12-05,2018-04-07,29,123,0
urb29,552,cultivar,2017-12-05,2018-04-09,27,125,0
urb29,56,cultivar,2017-12-05,2018-04-15,21,131,0
urb31,108,cultivar,,2018-04-13,23,,1
urb31,220,cultivar,,2018-04-13,23,,1
urb31,231,cultivar,,2018-04-07,29,,0
urb31,233,cultivar,,2018-04-01,35,,0
urb31,247,cultivar,2017-12-05,2018-03-02,64,87,0
urb31,308,cultivar,,2018-04-03,33,,0
urb31,346,cultivar,,2018-04-13,23,,0
urb31,372,cultivar,2017-12-05,2018-04-19,17,135,0
urb31,434,cultivar,,2018-04-11,25,,0
urb31,460,cultivar,2017-12-05,2018-03-27,39,112,0
urb31,48,cultivar,2017-12-05,2018-04-17,19,133,1
urb31,481,cultivar,,2018-04-11,25,,0
urb31,495,cultivar,2017-12-05,2018-03-02,64,87,0
urb31,514,cultivar,,2018-04-17,19,,0
urb31,539,cultivar,,2018-04-17,19,,1
urb31,55,cultivar,2017-12-05,2018-04-07,29,123,0
urb31,576,cultivar,,2018-04-09,27,,0
urb31,588,cultivar,2017-12-05,2018-03-27,39,112,0
urb31,59,cultivar,2017-12-05,2018-04-09,27,125,0
urb31,612,cultivar,2017-12-05,2018-03-14,52,99,0
urb31,63,cultivar,2017-12-05,2018-04-01,35,117,0
urb31,644,cultivar,,2018-04-13,23,,1
urb31,91,cultivar,2017-12-05,2018-03-04,62,89,0
urb32,189,cultivar,,2018-04-03,33,,0
urb32,208,cultivar,,2018-04-05,31,,0
urb32,264,cultivar,,2018-03-05,61,,0
urb32,336,cultivar,2017-12-05,2018-04-25,11,141,0
urb32,350,cultivar,2017-12-05,2018-03-02,64,87,0
urb32,366,cultivar,,2018-04-05,31,,0
urb32,378,cultivar,,2018-04-01,35,,0
urb32,379,cultivar,2017-12-05,2018-03-02,64,87,0
urb32,382,cultivar,2017-12-05,2018-03-02,64,87,0
urb32,390,cultivar,,2018-03-22,44,,0
urb32,42,cultivar,2017-12-05,2018-03-02,64,87,0
urb32,420,cultivar,,2018-04-05,31,,0
urb32,45,cultivar,2017-12-05,2018-03-14,52,99,0
urb32,53,cultivar,2017-12-05,2018-04-13,23,129,0
urb32,550,cultivar,,2018-04-01,35,,0
urb32,618,cultivar,,2018-03-14,52,,0
urb32,635,cultivar,,2018-04-13,23,,0
urb32,64,cultivar,2017-12-05,2018-03-23,43,108,0
urb32,658,cultivar,,2018-04-05,31,,0
urb32,72,cultivar,,2018-04-01,35,,0
